300,-0.02198039,0.0913469,0.00612515,0.00713767,0.2037371
301,-0.039046,-0.02426,-0.023743,0.007064,0.2066136
302,-0.01738871,0.0837721,0.02425735,0.01665663,0.3059607
303,-0.00808364,-0.0634216,0.0155964,-0.00834508,0.00594964
304,-0.01833398,-0.0643242,-0.0047587,0.00908894,0.2377102
305,0.00735144,0.1144776,0.0140756,0.00039068,0.1539396
306,-0.00439062,0.2180352,0.0113777,-0.00623714,0.00919234
307,-0.01396866,0.0146756,0.0055231,-0.00853402,0.00732638
308,-0.01958996,-0.0139434,0.0106776,0.01108488,0.2735044
309,-0.0100961,-0.031961,0.0026375,0.0016733,0.1843906
310,-0.02186188,-0.0580212,-0.0064992,-0.00052036,0.1663724
311,-0.0052755,-0.047482,0.0023975,-0.0007895,0.1682522
312,-0.01179462,0.0465922,0.0070927,-0.00642114,0.1163858
313,-0.008736,0.006722,0.004142,-0.013848,0.00471284
314,-0.00656658,0.0007688,-0.0010687,-0.01321826,0.00058591
315,-0.01046177,-0.0172793,0.00953445,-0.00650219,0.1300545
316,-0.0113844,-0.089589,0.0064,-0.0067068,0.1333076
317,-0.01568355,-0.0746365,0.00411575,-0.00785885,0.1270291
318,-0.01401481,0.0036151,0.00107185,-0.01061207,0.1050133
319,-0.0048554,0.027123,0.008324,-0.0114708,0.1024372
320,-0.01750814,-0.0141676,-0.0035821,-0.02131258,9.757e-06
321,-0.01163072,-0.0241598,0.0005822,-0.01698584,0.00591852
322,-0.00930799,-0.0208211,-0.00309585,-0.01854453,0.00489883
323,-0.01278311,-0.0343569,-0.00185465,-0.01939417,0.00475595
324,-0.00883601,-0.0009169,0.00073485,-0.01979647,0.00507925
325,-0.01289866,-0.0386654,0.0026401,-0.01739202,0.00081787
326,-0.01722801,-0.0153019,-0.00010515,-0.02263347,0.00357393
327,-0.01409646,0.0041346,-3.19e-05,-0.02872362,-0.00176454
328,-0.01755765,-0.0215585,-0.00229575,-0.02662455,0.00114981
329,-0.01329011,-0.0136049,0.00171535,-0.02813117,3.4891e-05
330,-0.0139556,0.005866,-0.005047,-0.0253912,0.00392408
331,-0.01524448,-0.0378862,-0.0011922,-0.02633956,0.00037182
332,-0.01149586,-0.0148984,-0.0009579,-0.02881342,0.00209434
333,-0.02307167,-0.0355393,-0.00078605,-0.02486149,0.00685779
334,-0.01340265,-0.0417855,-0.00345875,-0.03104455,0.00159889
335,-0.01580184,-0.0482386,-0.0020216,-0.03225848,0.00129384
336,-0.02054897,-0.0502263,-0.00757855,-0.03485359,-3.9083e-05
337,-0.01987029,-0.0526511,-0.00220535,-0.04125363,-0.00587347
338,-0.01971767,-0.0630263,-0.00253305,-0.03844449,-0.00204157
339,-0.0245521,-0.063741,-0.0060675,-0.0402527,-0.00292434
340,-0.02584749,-0.0642651,-0.00674235,-0.03876603,-3.8575e-05
341,-0.01852355,-0.0760735,-0.00519425,-0.04503685,-0.00576525
342,-0.0246569,-0.073185,-0.0051965,-0.0421953,-0.00017683
343,-0.03107439,-0.0676201,-0.00712885,-0.04514233,-0.00363029
344,-0.03274157,-0.0843333,-0.00703955,-0.04487479,-0.00226027
345,-0.03595951,-0.0870339,-0.00643765,-0.05258097,-0.00880257
346,-0.03293302,-0.0801528,-0.0073113,-0.04958594,-0.00468986
347,-0.0292818,-0.081636,-0.004389,-0.0564016,-0.1055608
348,-0.03271922,-0.0896678,-0.0053963,-0.05232334,-0.00535638
349,-0.0333442,-0.097094,-0.002903,-0.0570634,-8.919e-05
350,-0.03782283,-0.0985847,-0.00790345,-0.05548801,-0.00619885
351,-0.0410476,-0.101268,-0.007503,-0.0587582,-0.00830968
352,-0.03711485,-0.0990885,-0.00874375,-0.05778495,-0.00624331
353,-0.03862145,-0.1155635,-0.01288775,-0.05836915,-0.00562359
354,-0.04002123,-0.1163977,-0.01012745,-0.06245881,-0.00857085
355,-0.04009742,-0.1133638,-0.0082063,-0.06527674,-0.1018154
356,-0.04258148,-0.1193842,-0.0100422,-0.06405156,-0.00778196
357,-0.04523461,-0.1263599,-0.01061215,-0.06633667,-0.00892739
358,-0.04457883,-0.1292337,-0.00817945,-0.06964801,-0.1105285
359,-0.04592089,-0.1289091,-0.00964035,-0.06679083,-0.00701423
360,-0.04541192,-0.1366378,-0.0110368,-0.06867824,-0.00777156
361,-0.04816501,-0.1379129,-0.01383815,-0.06684147,-0.00484863
362,-0.04989806,-0.1329294,-0.0147809,-0.07046982,-0.00743274
363,-0.05242472,-0.1391058,-0.0153468,-0.06773584,-0.00360552
364,-0.0536383,-0.138853,-0.0112325,-0.0699791,-0.00480226
365,-0.05488565,-0.1520485,-0.01375575,-0.07285055,-0.00656703
366,-0.05477917,-0.1491503,-0.01315755,-0.07179199,-0.00463907
367,-0.05799488,-0.1569842,-0.0124272,-0.06988936,-0.00017954
368,-0.05954703,-0.1589717,-0.01371045,-0.07080941,-0.00190721
369,-0.06037266,-0.1583494,-0.0147419,-0.07008502,-4.0558e-05
370,-0.05936928,-0.1623022,-0.0139532,-0.07133116,-7.8984e-05
371,-0.06151247,-0.1654963,-0.01812505,-0.06692509,0.00424143
372,-0.06143676,-0.1705134,-0.0140924,-0.06697372,0.00493128
373,-0.06030733,-0.1699987,-0.01623695,-0.06825951,0.00418225
374,-0.06268629,-0.1699581,-0.01456435,-0.06742263,0.00568053
375,-0.06313922,-0.1767298,-0.0162253,-0.06453434,0.00914882
376,-0.06442485,-0.1751695,-0.01724975,-0.06206495,0.1199645
377,-0.06445597,-0.1779913,-0.01794755,-0.06224559,0.1230173
378,-0.06525656,-0.1795384,-0.0166134,-0.06059932,0.1435836
379,-0.06492177,-0.1789223,-0.01642155,-0.06072119,0.1444025
380,-0.06300819,-0.1796821,-0.01540985,-0.05794693,0.1758431
