Wavelength(nm),Spectrum,,,,,,,,,,,,
531,7.28E-03,,,,,,,,,,,,
532,3.17E-03,,,,,,,,,,,,
533,1.33E-03,,,,,,,,,,,,
534,6.83E-04,,,,,,,,,,,,
535,5.20E-04,,,,,,,,,,,,
536,4.76E-04,,,,,,,,,,,,
537,4.64E-04,,,,,,,,,,,,
538,4.31E-04,,,,,,,,,,,,
539,4.11E-04,,,,,,,,,,,,
540,4.14E-04,,,,,,,,,,,,
541,3.99E-04,,,,,,,,,,,,
542,3.77E-04,,,,,,,,,,,,
543,3.69E-04,,,,,,,,,,,,
544,3.72E-04,,,,,,,,,,,,
545,3.59E-04,,,,,,,,,,,,
546,3.57E-04,,,,,,,,,,,,
547,3.49E-04,,,,,,,,,,,,
548,3.41E-04,,,,,,,,,,,,
549,3.24E-04,,,,,,,,,,,,
550,3.21E-04,,,,,,,,,,,,
551,3.09E-04,,,,,,,,,,,,
552,2.98E-04,,,,,,,,,,,,
553,2.95E-04,,,,,,,,,,,,
554,2.67E-04,,,,,,,,,,,,
555,2.59E-04,,,,,,,,,,,,
556,2.51E-04,,,,,,,,,,,,
557,2.32E-04,,,,,,,,,,,,
558,2.22E-04,,,,,,,,,,,,
559,2.14E-04,,,,,,,,,,,,
560,2.09E-04,,,,,,,,,,,,
561,1.88E-04,,,,,,,,,,,,
562,1.86E-04,,,,,,,,,,,,
563,1.91E-04,,,,,,,,,,,,
564,1.76E-04,,,,,,,,,,,,
565,1.80E-04,,,,,,,,,,,,
566,1.72E-04,,,,,,,,,,,,
567,1.69E-04,,,,,,,,,,,,
568,1.71E-04,,,,,,,,,,,,
569,1.63E-04,,,,,,,,,,,,
570,1.54E-04,,,,,,,,,,,,
571,1.53E-04,,,,,,,,,,,,
572,1.62E-04,,,,,,,,,,,,
573,1.46E-04,,,,,,,,,,,,
574,1.51E-04,,,,,,,,,,,,
575,1.50E-04,,,,,,,,,,,,
576,1.43E-04,,,,,,,,,,,,
577,1.43E-04,,,,,,,,,,,,
578,1.54E-04,,,,,,,,,,,,
579,1.47E-04,,,,,,,,,,,,
580,1.53E-04,,,,,,,,,,,,
581,1.41E-04,,,,,,,,,,,,
582,1.54E-04,,,,,,,,,,,,
583,1.43E-04,,,,,,,,,,,,
584,1.39E-04,,,,,,,,,,,,
585,1.46E-04,,,,,,,,,,,,
586,1.49E-04,,,,,,,,,,,,
587,1.53E-04,,,,,,,,,,,,
588,1.43E-04,,,,,,,,,,,,
589,1.36E-04,,,,,,,,,,,,
590,1.45E-04,,,,,,,,,,,,
591,1.37E-04,,,,,,,,,,,,
592,1.33E-04,,,,,,,,,,,,
593,1.35E-04,,,,,,,,,,,,
594,1.55E-04,,,,,,,,,,,,
595,1.76E-04,,,,,,,,,,,,
596,2.12E-04,,,,,,,,,,,,
597,2.74E-04,,,,,,,,,,,,
598,3.06E-04,,,,,,,,,,,,
599,2.90E-04,,,,,,,,,,,,
600,2.65E-04,,,,,,,,,,,,
601,2.30E-04,,,,,,,,,,,,
602,2.19E-04,,,,,,,,,,,,
603,2.17E-04,,,,,,,,,,,,
604,2.42E-04,,,,,,,,,,,,
605,2.52E-04,,,,,,,,,,,,
606,2.37E-04,,,,,,,,,,,,
607,2.05E-04,,,,,,,,,,,,
608,2.05E-04,,,,,,,,,,,,
609,2.11E-04,,,,,,,,,,,,
610,2.12E-04,,,,,,,,,,,,
611,2.25E-04,,,,,,,,,,,,
612,2.26E-04,,,,,,,,,,,,
613,2.16E-04,,,,,,,,,,,,
614,2.16E-04,,,,,,,,,,,,
615,2.28E-04,,,,,,,,,,,,
616,2.36E-04,,,,,,,,,,,,
617,2.99E-04,,,,,,,,,,,,
