392.1569,0.0022,-0.0006,0.009
396.0396,0.0046,-0.0013,0.0198
400,0.0089,-0.0025,0.04
404.0404,0.0164,-0.005,0.0781
408.1633,0.029,-0.0095,0.144
412.3711,0.043,-0.0154,0.2343
416.6667,0.06,-0.0236,0.365
421.0526,0.0727,-0.0303,0.4992
425.5319,0.076,-0.034,0.63
430.1075,0.0744,-0.0349,0.7669
434.7826,0.057,-0.028,0.873
439.5604,0.0349,-0.0181,0.9692
444.4444,0,0,1
449.4382,-0.0426,0.025,1.0036
454.5455,-0.092,0.06,0.922
459.7701,-0.1556,0.1059,0.834
465.1163,-0.225,0.163,0.74
470.5882,-0.291,0.227,0.596
476.1905,-0.343,0.293,0.442
481.9277,-0.394,0.369,0.318
487.8049,-0.423,0.441,0.216
493.8272,-0.444,0.531,0.144
500,-0.435,0.626,0.091
506.3291,-0.407,0.733,0.054
512.8205,-0.322,0.837,0.0278
519.4805,-0.198,0.941,0.0107
526.3158,0,1,0
533.3333,0.244,1.033,-0.0053
540.5405,0.561,1.054,-0.0082
547.9452,0.9,1.019,-0.0095
555.5556,1.3,0.968,-0.0096
563.3803,1.75,0.879,-0.0089
571.4286,2.24,0.759,-0.0078
579.7101,2.64,0.602,-0.0065
588.2353,3.02,0.452,-0.0053
597.0149,3.16,0.305,-0.0039
606.0606,3.08,0.179,-0.0026
615.3846,2.7,0.091,-0.0015
625,2.17,0.0371,-0.0009
634.9206,1.5225,0.0114,-0.0003
645.1613,1,0,0
655.7377,0.5686,-0.002,0.0001
666.6667,0.296,-0.0018,0.0001
677.9661,0.1407,-0.001,0
689.6552,0.0601,-0.0005,0
701.7544,0.025,-0.0002,0
714.2857,0.0097,-0.0001,0
