sample_id,dataset,subdataset,label,source_file,n_wavelengths,nm_400,nm_410,nm_420,nm_430,nm_440,nm_450,nm_460,nm_470,nm_480,nm_490,nm_500,nm_510,nm_520,nm_530,nm_540,nm_550,nm_560,nm_570,nm_580,nm_590,nm_600,nm_610,nm_620,nm_630,nm_640,nm_650,nm_660,nm_670,nm_680,nm_690,nm_700
paper_spectra__papersci__0141,paper_spectra,papersci,papersci_0141,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,30.36,34.97,38.62,40.85,42.68,44.33,46.25,48.4,50.57,52.37,53.82,55.06,56.03,56.72,57.4,58.17,58.93,59.49,60.16,61.13,62.63,64.7,67.03,69.25,71.51,73.69,75.66,77.42,78.95,80.21,81.41
paper_spectra__papersci__0142,paper_spectra,papersci,papersci_0142,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,46.32,43.23,40.09,37.7,35.82,34.86,34.79,35.11,36.07,38.24,42.39,47.97,53.63,58.17,64.04,72.94,82.15,87.26,89.71,90.7,91.31,91.73,92.06,92.3,92.71,93.27,93.93,94.56,95.31,96.16,96.97
paper_spectra__papersci__0143,paper_spectra,papersci,papersci_0143,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,45.5,42.6,39.69,37.4,35.58,34.68,34.6,34.92,35.88,38.04,42.01,47.22,52.34,56.25,61,67.5,73.5,76.56,78.09,78.86,79.44,79.94,80.41,80.75,81.27,81.88,82.49,83.15,83.87,84.62,85.36
paper_spectra__papersci__0144,paper_spectra,papersci,papersci_0144,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,44.87,42.03,39.15,36.89,35.17,34.3,34.23,34.58,35.56,37.71,41.69,46.95,52.19,56.32,61.65,69.88,78.97,84.92,88.55,90.48,91.64,92.51,93.21,93.81,94.59,95.46,96.4,97.38,98.36,99.47,100.73
paper_spectra__papersci__0145,paper_spectra,papersci,papersci_0145,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,56.91,54.72,52.28,50.25,48.69,48.08,48.34,48.98,50.32,52.84,56.81,61.46,65.96,69.08,71.09,73.09,76.38,80.83,85.77,89.59,91.72,92.87,93.52,93.92,94.4,94.96,95.56,96.22,96.94,97.68,98.46
paper_spectra__papersci__0146,paper_spectra,papersci,papersci_0146,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,55.01,53.2,51.1,49.33,47.97,47.41,47.66,48.27,49.5,51.75,55.19,59.07,62.63,64.93,66.41,67.88,70.18,73.05,76.14,78.48,79.88,80.75,81.35,81.85,82.42,82.95,83.53,84.25,84.95,85.66,86.38
paper_spectra__papersci__0147,paper_spectra,papersci,papersci_0147,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,55.39,53.41,51.18,49.33,47.9,47.34,47.63,48.28,49.6,52.05,55.81,60.15,64.23,66.98,68.89,70.84,74.01,78.53,84.11,89.2,92.7,94.94,96.36,97.32,98.3,99.19,100.07,100.92,101.94,103.05,104.14
paper_spectra__papersci__0148,paper_spectra,papersci,papersci_0148,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,56.11,54.35,52.21,50.33,48.81,48.15,48.27,48.68,49.65,51.51,54.32,57.39,60.09,61.63,62.48,63.41,65.46,68.46,71.69,73.75,74.02,73.41,72.94,73.11,73.98,75,75.72,76.24,77.13,78.73,81.24
paper_spectra__papersci__0149,paper_spectra,papersci,papersci_0149,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,54.76,53.14,51.22,49.48,48.04,47.38,47.51,47.92,48.82,50.56,53.13,55.88,58.23,59.54,60.24,61.04,62.73,65.12,67.62,69.2,69.49,69.14,68.88,69.08,69.86,70.72,71.32,71.85,72.66,73.97,75.92
paper_spectra__papersci__0150,paper_spectra,papersci,papersci_0150,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,54.68,53.08,51.11,49.35,47.94,47.34,47.49,47.92,48.91,50.77,53.46,56.34,58.83,60.23,61.04,61.94,63.88,66.71,69.77,71.76,72.14,71.61,71.21,71.42,72.32,73.39,74.15,74.74,75.69,77.27,79.78
paper_spectra__papersci__0151,paper_spectra,papersci,papersci_0151,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,19.58,17.68,16.17,15.64,16.04,17.25,19.46,23.53,30.41,39.5,50.36,61.35,71.65,79.3,84.1,87.19,89.15,90.07,90.62,90.76,90.87,90.92,91.22,91.55,92.02,92.41,92.44,92.29,92.73,94.25,96.23
paper_spectra__papersci__0152,paper_spectra,papersci,papersci_0152,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,19.6,17.72,16.22,15.68,16.07,17.29,19.51,23.58,30.43,39.37,49.57,59.08,66.84,71.79,74.64,76.52,77.82,78.48,79.01,79.32,79.69,79.99,80.39,80.78,81.34,81.81,82.08,82.24,82.78,83.94,85.37
paper_spectra__papersci__0153,paper_spectra,papersci,papersci_0153,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,19.59,17.71,16.24,15.72,16.14,17.37,19.58,23.64,30.45,39.36,49.76,59.97,69.43,76.62,81.67,85.49,88.19,89.66,90.67,91.12,91.4,91.68,92.26,92.93,93.76,94.33,94.16,93.54,94.04,96.39,99.62
paper_spectra__papersci__0154,paper_spectra,papersci,papersci_0154,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,22.95,22.19,22.47,24.17,27.45,32.58,40.42,51.41,64.3,75.42,82.82,86.71,88.54,89.59,90.18,90.64,91.21,91.58,91.92,92.12,92.47,92.79,93.08,93.35,93.74,94.21,94.77,95.46,96.15,96.86,97.56
paper_spectra__papersci__0155,paper_spectra,papersci,papersci_0155,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,22.37,21.63,21.93,23.6,26.81,31.81,39.31,49.23,59.59,67.36,71.82,74.05,75.18,75.79,76.22,76.69,77.24,77.64,78.06,78.5,78.98,79.41,79.86,80.28,80.79,81.33,81.89,82.57,83.29,83.96,84.62
paper_spectra__papersci__0156,paper_spectra,papersci,papersci_0156,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,23.02,22.28,22.56,24.23,27.49,32.56,40.15,50.43,62.11,72.23,79.54,84.03,86.52,88.16,89.3,90.39,91.46,92.3,93.15,93.9,94.71,95.54,96.3,96.94,97.68,98.49,99.36,100.3,101.29,102.29,103.32
paper_spectra__papersci__0157,paper_spectra,papersci,papersci_0157,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,54.5,52.24,49.75,47.83,46.68,46.68,47.74,49.54,52.36,56.62,62.98,70.68,78.57,84.22,87.46,89.4,90.62,91.29,91.8,92.13,92.53,92.89,93.21,93.53,93.97,94.44,95.02,95.77,96.49,97.19,97.93
paper_spectra__papersci__0158,paper_spectra,papersci,papersci_0158,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,53.56,51.45,49.17,47.4,46.31,46.3,47.32,49.01,51.59,55.33,60.56,66.38,71.59,74.82,76.68,77.87,78.74,79.28,79.8,80.21,80.71,81.17,81.63,82.06,82.61,83.12,83.71,84.4,85.12,85.85,86.52
paper_spectra__papersci__0159,paper_spectra,papersci,papersci_0159,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,53.8,51.65,49.28,47.46,46.41,46.43,47.48,49.26,52.03,56.07,61.95,69.02,76.46,82.28,86.32,89.24,91.3,92.53,93.61,94.5,95.33,96.2,96.98,97.59,98.4,99.22,100.07,101.05,102.08,103.05,104.06
paper_spectra__papersci__0160,paper_spectra,papersci,papersci_0160,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,41.59,39.04,36.5,34.7,33.48,33.15,33.63,34.54,36.1,38.69,42.71,47.51,52.24,55.42,57.36,59.06,61.65,65.24,69.32,72.39,73.66,73.69,73.46,73.68,74.63,75.69,76.45,76.99,77.8,79.24,81.6
paper_spectra__papersci__0161,paper_spectra,papersci,papersci_0161,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,41.36,38.87,36.4,34.65,33.45,33.1,33.61,34.53,36.07,38.63,42.6,47.25,51.7,54.59,56.37,57.92,60.24,63.32,66.7,69.18,70.24,70.33,70.28,70.53,71.34,72.27,72.96,73.51,74.24,75.48,77.43
paper_spectra__papersci__0162,paper_spectra,papersci,papersci_0162,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,41.05,38.55,36.13,34.4,33.22,32.89,33.42,34.35,35.9,38.49,42.48,47.16,51.72,54.72,56.6,58.2,60.68,64.04,67.91,70.88,72.12,72.2,72.09,72.37,73.3,74.41,75.23,75.84,76.66,78.12,80.55
paper_spectra__papersci__0163,paper_spectra,papersci,papersci_0163,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,16.09,16.07,16.66,18.14,20.71,24.35,29.56,37.08,47.39,59.24,70.96,79.47,83.9,85.91,87.02,87.93,88.9,89.58,90.19,90.66,91.25,91.78,92.28,92.72,93.35,94.11,94.96,95.87,96.76,97.62,98.48
paper_spectra__papersci__0164,paper_spectra,papersci,papersci_0164,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,15.86,15.85,16.44,17.89,20.42,24.05,29.24,36.67,46.62,57.36,66.9,73.07,75.99,77.28,78.09,78.83,79.62,80.21,80.81,81.36,81.96,82.54,83.13,83.66,84.3,85.02,85.8,86.63,87.46,88.29,89.16
paper_spectra__papersci__0165,paper_spectra,papersci,papersci_0165,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,15.92,15.94,16.55,18.04,20.58,24.18,29.29,36.59,46.47,57.57,68.47,76.7,81.49,83.93,85.47,86.87,88.29,89.41,90.51,91.51,92.57,93.58,94.58,95.56,96.7,97.96,99.31,100.7,102.14,103.48,104.92
