sample_id,dataset,subdataset,label,source_file,n_wavelengths,nm_400,nm_410,nm_420,nm_430,nm_440,nm_450,nm_460,nm_470,nm_480,nm_490,nm_500,nm_510,nm_520,nm_530,nm_540,nm_550,nm_560,nm_570,nm_580,nm_590,nm_600,nm_610,nm_620,nm_630,nm_640,nm_650,nm_660,nm_670,nm_680,nm_690,nm_700
agfa_it872__agfa_it872__0069,agfa_it872,agfa_it872,D3,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,6.48,6.88,6.9,6.58,6.38,6.13,5.98,6.14,6.62,7.39,8.2,8.79,8.93,8.66,8.75,9.39,9.88,10.5,10.91,10.78,10.1,9.05,8.11,7.49,7.07,6.87,6.95,7.28,7.93,9.11,10.9
agfa_it872__agfa_it872__0070,agfa_it872,agfa_it872,D4,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,6.67,7.06,6.96,6.65,6.46,6.23,6.07,6.22,6.71,7.51,8.33,8.9,9.07,8.85,8.91,9.57,10.12,10.69,11.04,10.89,10.2,9.11,8.2,7.58,7.17,6.97,7.05,7.41,8.05,9.2,10.98
agfa_it872__agfa_it872__0071,agfa_it872,agfa_it872,D5,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,10.07,15.77,19.58,19.83,19.88,19.93,20.47,21.72,23.49,25.56,27.42,28.73,29.36,29.4,29.55,30.56,31.77,33.13,34.26,34.48,33.53,31.68,29.8,28.33,27.24,26.63,26.62,27.27,28.72,31.1,34.1
agfa_it872__agfa_it872__0072,agfa_it872,agfa_it872,D6,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,8.73,11.65,13.07,12.62,12.3,12.17,12.57,13.75,15.72,18.44,21.67,24.78,27.11,28.52,29.69,31.19,32.55,34.03,35.17,35.37,34.46,32.65,30.79,29.32,28.27,27.7,27.7,28.4,29.83,32.12,35.15
agfa_it872__agfa_it872__0073,agfa_it872,agfa_it872,D7,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,7.57,8.82,9.04,8.49,8.15,7.92,7.99,8.8,10.41,13.07,16.76,21.09,24.99,27.78,30,31.93,33.22,34.29,34.92,34.62,33.33,31.37,29.49,27.95,26.85,26.28,26.29,26.94,28.37,30.61,33.53
agfa_it872__agfa_it872__0074,agfa_it872,agfa_it872,D8,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,7.11,7.8,7.83,7.28,6.97,6.66,6.61,7.09,8.34,10.74,14.67,19.85,25.1,29.51,33.22,35.95,37.36,38.19,38.36,37.63,36.15,34.06,32.01,30.48,29.4,28.79,28.82,29.49,30.92,33.24,36.22
agfa_it872__agfa_it872__0075,agfa_it872,agfa_it872,D9,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,13.27,28.05,40.49,43.52,44.16,44.14,44.59,45.55,46.85,48.36,49.69,50.71,51.74,52.43,52.75,53.59,54.24,55.11,56,56.21,55.49,53.89,52.19,50.9,50.14,49.9,50.12,50.98,52.55,54.91,57.68
agfa_it872__agfa_it872__0076,agfa_it872,agfa_it872,D10,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,12.93,26.55,37.49,39.66,39.92,39.82,40.47,41.87,43.97,46.49,49.07,51.42,53.62,55.26,56.33,57.62,58.28,59.02,59.74,59.92,59.17,57.48,55.7,54.39,53.68,53.49,53.73,54.64,56.26,58.58,61.28
agfa_it872__agfa_it872__0077,agfa_it872,agfa_it872,D11,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,12.32,23.37,31.71,32.85,32.78,32.63,33.35,35.1,37.75,41.13,44.94,48.88,52.62,55.6,57.64,59.08,59.52,59.82,60,59.69,58.6,56.74,54.87,53.56,52.84,52.58,52.77,53.7,55.39,57.67,60.26
agfa_it872__agfa_it872__0078,agfa_it872,agfa_it872,D12,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,11.72,20.8,27.17,27.6,27.22,26.99,27.79,29.67,32.66,36.73,41.73,47.25,52.78,57.55,61.06,63.17,63.59,63.58,63.42,62.85,61.67,59.87,58.09,56.81,56.21,56.14,56.42,57.33,58.96,61.1,63.46
agfa_it872__agfa_it872__0079,agfa_it872,agfa_it872,D13,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,13.8,35.19,57.28,67.6,72.4,74.34,75.38,75.24,74.03,72.44,70.27,68.34,67.66,67.06,64.87,61.94,58.4,54.82,51.21,47.73,44.34,40.84,37.99,35.92,34.5,33.78,33.67,34.27,35.78,38.27,41.35
agfa_it872__agfa_it872__0080,agfa_it872,agfa_it872,D14,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,14.79,38.77,61.99,69.83,72.15,71.49,69.08,65.42,60.86,56.08,51.19,46.82,43.95,42.02,41.13,42.95,45.72,49.98,55.61,61.35,65.98,69.36,71.74,73.73,76.08,78.38,80.18,81.83,83.25,84.36,85.17
agfa_it872__agfa_it872__0081,agfa_it872,agfa_it872,D15,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,13.54,28.86,41.37,43.71,43.54,42.97,43.49,45.09,47.64,51.01,54.94,59.41,64.43,69.04,72.41,74.65,75.27,75.8,76.83,77.85,78.44,78.42,78.27,78.57,79.74,81.27,82.6,83.9,85.05,85.87,86.45
agfa_it872__agfa_it872__0082,agfa_it872,agfa_it872,D16,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,12.32,24.13,33.9,36.46,37.47,37.77,38.17,38.64,38.99,39.09,38.65,37.67,36.62,35.56,34.97,35.79,36.96,38.53,39.96,40.51,39.89,38.27,36.49,35.05,34.05,33.5,33.5,34.26,35.79,38.2,41.28
agfa_it872__agfa_it872__0083,agfa_it872,agfa_it872,D17,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,13.31,27.48,38.67,40.58,40.68,40.27,40.17,40.42,40.77,40.99,40.75,40.06,39.43,38.88,38.97,41.16,44.23,48.71,54.58,60.49,65.28,68.88,71.43,73.5,75.84,78.18,80.11,81.82,83.25,84.34,85.24
agfa_it872__agfa_it872__0084,agfa_it872,agfa_it872,D18,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,12.74,26.24,37.67,40.84,41.81,42.17,43.16,44.94,47.32,50.3,53.47,56.6,59.65,61.83,62.23,61.06,58.45,55.56,52.52,49.33,46.13,42.77,39.95,37.95,36.53,35.79,35.74,36.44,37.98,40.4,43.44
