sample_id,dataset,subdataset,label,source_file,n_wavelengths,nm_400,nm_410,nm_420,nm_430,nm_440,nm_450,nm_460,nm_470,nm_480,nm_490,nm_500,nm_510,nm_520,nm_530,nm_540,nm_550,nm_560,nm_570,nm_580,nm_590,nm_600,nm_610,nm_620,nm_630,nm_640,nm_650,nm_660,nm_670,nm_680,nm_690,nm_700
paper_spectra__cardboardsci__0186,paper_spectra,cardboardsci,cardboardsci_0186,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,6.72,6.54,6.59,7.09,8.11,9.76,12.97,19.39,30.28,43.48,55.55,62.95,65.74,66.39,66.99,67.35,65.75,62.22,58.4,54.69,51.03,47.9,46.74,47.04,48.03,48.37,46.13,41.94,40.36,44.48,53.17
paper_spectra__cardboardsci__0187,paper_spectra,cardboardsci,cardboardsci_0187,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,8.63,8.32,8.15,8.27,8.73,9.5,10.62,12.14,14.3,17,19.65,21.09,21.11,20.2,18.84,17.14,15.31,13.7,12.27,11.13,10.22,9.64,9.51,9.71,10.05,10.39,10.54,10.71,11.59,13.62,17.17
paper_spectra__cardboardsci__0188,paper_spectra,cardboardsci,cardboardsci_0188,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,8.65,8.34,8.17,8.3,8.76,9.54,10.67,12.2,14.36,17.06,19.68,21.13,21.15,20.24,18.85,17.18,15.35,13.77,12.34,11.18,10.28,9.69,9.56,9.77,10.12,10.45,10.6,10.8,11.68,13.68,17.21
paper_spectra__cardboardsci__0189,paper_spectra,cardboardsci,cardboardsci_0189,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,8.63,8.32,8.16,8.31,8.75,9.52,10.66,12.17,14.31,17,19.62,21.07,21.09,20.16,18.82,17.14,15.34,13.74,12.32,11.17,10.26,9.68,9.57,9.75,10.1,10.44,10.59,10.78,11.64,13.66,17.17
paper_spectra__cardboardsci__0190,paper_spectra,cardboardsci,cardboardsci_0190,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,29.48,27.58,26.45,26.67,28.11,30.86,35.84,44.3,56.19,67.94,76.13,79.35,78.74,76.37,72.65,67.58,61.49,55.87,51.07,47.32,44.54,42.85,42.86,44.14,45.98,47.1,46.33,45.24,46.76,51.61,58.6
paper_spectra__cardboardsci__0191,paper_spectra,cardboardsci,cardboardsci_0191,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,29.31,27.44,26.33,26.56,27.98,30.73,35.68,44.01,55.32,65.68,72.15,74.52,74.19,72.62,69.87,65.8,60.52,55.27,50.69,47.09,44.37,42.72,42.75,44.04,45.88,46.99,46.28,45.24,46.71,51.48,58.29
paper_spectra__cardboardsci__0192,paper_spectra,cardboardsci,cardboardsci_0192,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,29.07,27.23,26.16,26.37,27.79,30.52,35.43,43.67,55.1,66.17,73.79,76.88,76.37,74.13,70.71,66.04,60.33,54.96,50.37,46.78,44.07,42.42,42.45,43.73,45.53,46.66,45.97,44.92,46.35,51.08,57.96
paper_spectra__cardboardsci__0193,paper_spectra,cardboardsci,cardboardsci_0193,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,19.11,17.86,17.15,17.43,18.65,20.88,25.02,32.47,43.56,54.94,62.95,65.67,63.67,59.38,53.89,47.18,39.97,33.99,29.37,26.06,23.62,22.03,21.76,22.51,23.73,24.49,23.82,22.87,23.91,27.58,33.37
paper_spectra__cardboardsci__0194,paper_spectra,cardboardsci,cardboardsci_0194,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,18.92,17.72,17.08,17.38,18.56,20.78,24.9,32.28,43.26,54.54,62.54,65.26,63.31,59.02,53.53,46.86,39.69,33.78,29.17,25.85,23.43,21.88,21.59,22.33,23.54,24.26,23.57,22.64,23.63,27.25,33.02
paper_spectra__cardboardsci__0195,paper_spectra,cardboardsci,cardboardsci_0195,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,18.86,17.67,17.01,17.29,18.49,20.72,24.82,32.21,43.2,54.5,62.47,65.17,63.22,58.95,53.47,46.79,39.65,33.76,29.14,25.82,23.4,21.84,21.56,22.3,23.49,24.22,23.59,22.65,23.64,27.29,33.05
paper_spectra__cardboardsci__0196,paper_spectra,cardboardsci,cardboardsci_0196,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,8.53,8.19,8.07,8.27,8.77,9.58,10.79,12.46,14.6,17,19.33,20.92,21.32,20.5,19.03,17.12,15.1,13.45,12.03,10.95,10.12,9.62,9.61,9.91,10.34,10.74,11,11.5,12.92,15.55,19.66
paper_spectra__cardboardsci__0197,paper_spectra,cardboardsci,cardboardsci_0197,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,8.43,8.12,7.99,8.19,8.7,9.52,10.72,12.36,14.48,16.83,19.11,20.68,21.06,20.25,18.78,16.91,14.92,13.28,11.88,10.79,10,9.53,9.5,9.79,10.22,10.63,10.87,11.34,12.74,15.35,19.41
paper_spectra__cardboardsci__0198,paper_spectra,cardboardsci,cardboardsci_0198,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,8.54,8.19,8.08,8.28,8.79,9.6,10.82,12.48,14.61,16.97,19.26,20.85,21.22,20.41,18.97,17.1,15.11,13.46,12.05,10.99,10.16,9.68,9.65,9.96,10.39,10.79,11.05,11.56,12.97,15.56,19.61
paper_spectra__cardboardsci__0199,paper_spectra,cardboardsci,cardboardsci_0199,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,34.22,33.43,33.54,34.99,37.92,42.38,48.18,54.28,59.57,63.83,68.25,72.81,76.96,79.49,79.55,77.52,73.66,69.36,65.37,61.57,57.53,53.93,52.58,53.05,54.4,54.91,52.51,48.01,46.21,50.53,59.95
paper_spectra__cardboardsci__0200,paper_spectra,cardboardsci,cardboardsci_0200,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,34.16,33.42,33.55,34.96,37.87,42.29,48.01,54.02,59.2,63.4,67.65,71.94,75.78,78.01,78.11,76.35,72.9,68.88,65.02,61.37,57.44,53.92,52.57,53.03,54.36,54.87,52.55,48.12,46.31,50.6,59.92
paper_spectra__cardboardsci__0201,paper_spectra,cardboardsci,cardboardsci_0201,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,34.25,33.54,33.65,35.06,37.96,42.35,48.04,54.03,59.17,63.38,67.68,72.12,76.19,78.55,78.68,76.72,73.01,68.87,64.97,61.26,57.32,53.83,52.52,52.98,54.29,54.84,52.53,48.1,46.31,50.57,59.85
paper_spectra__cardboardsci__0202,paper_spectra,cardboardsci,cardboardsci_0202,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,12.24,11.31,10.47,10.12,10.39,11.22,12.73,15.7,21.26,29.25,38.4,45.78,49.51,49.25,45.88,40.42,33.88,28.24,23.87,20.71,18.39,16.75,16.21,16.59,17.45,18.01,17.46,16.43,16.69,19.1,23.7
paper_spectra__cardboardsci__0203,paper_spectra,cardboardsci,cardboardsci_0203,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,12.03,11.13,10.31,9.97,10.25,11.09,12.59,15.55,21.09,28.99,38.11,45.48,49.22,48.93,45.56,40.07,33.57,28.01,23.68,20.53,18.25,16.66,16.14,16.53,17.37,17.93,17.38,16.37,16.63,19.07,23.62
paper_spectra__cardboardsci__0204,paper_spectra,cardboardsci,cardboardsci_0204,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,12.22,11.29,10.49,10.16,10.42,11.25,12.78,15.74,21.29,29.21,38.35,45.75,49.51,49.2,45.87,40.4,33.85,28.29,23.93,20.77,18.44,16.83,16.3,16.68,17.53,18.05,17.47,16.45,16.71,19.12,23.7
paper_spectra__cardboardsci__0205,paper_spectra,cardboardsci,cardboardsci_0205,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,10,9.12,8.68,8.92,9.65,10.94,13.6,19.29,29.91,43.85,56.99,64.82,67.4,67.36,65.97,63.44,59.65,55.26,50.87,46.47,42.06,38.38,36.9,37.15,38.21,38.53,36.35,32.77,31.95,36.3,45.1
paper_spectra__cardboardsci__0206,paper_spectra,cardboardsci,cardboardsci_0206,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,9.84,8.96,8.55,8.77,9.48,10.76,13.38,18.99,29.47,43.24,56.26,63.99,66.61,66.59,65.21,62.71,58.98,54.65,50.31,45.98,41.61,37.97,36.53,36.77,37.83,38.18,36.07,32.5,31.66,35.98,44.68
paper_spectra__cardboardsci__0207,paper_spectra,cardboardsci,cardboardsci_0207,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,9.8,8.96,8.52,8.75,9.48,10.76,13.37,19.02,29.56,43.37,56.45,64.26,66.91,66.85,65.47,62.95,59.21,54.83,50.44,46.1,41.73,38.07,36.62,36.87,37.92,38.27,36.16,32.6,31.76,36.1,44.79
paper_spectra__cardboardsci__0208,paper_spectra,cardboardsci,cardboardsci_0208,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,11.85,10.76,10.09,10,10.34,11.09,12.32,14.22,16.98,20.49,24.51,27.83,29.72,30.25,30.2,29.97,29.92,30.25,30.86,31.37,31.42,31.11,30.85,30.95,31.55,32.38,33.18,33.98,34.95,36.21,38.2
paper_spectra__cardboardsci__0209,paper_spectra,cardboardsci,cardboardsci_0209,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,11.8,10.73,10.08,9.98,10.32,11.09,12.33,14.22,16.95,20.41,24.37,27.63,29.46,29.98,29.95,29.73,29.68,30.02,30.64,31.16,31.22,30.91,30.67,30.78,31.36,32.2,32.99,33.76,34.7,35.99,37.95
paper_spectra__cardboardsci__0210,paper_spectra,cardboardsci,cardboardsci_0210,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,11.79,10.72,10.06,9.95,10.3,11.06,12.3,14.19,16.94,20.42,24.42,27.73,29.61,30.13,30.08,29.86,29.8,30.14,30.74,31.26,31.35,31.02,30.75,30.88,31.47,32.28,33.08,33.88,34.83,36.09,38.07
