wavelength,papersce_0001,papersce_0002,papersce_0003,papersce_0004,papersce_0005,papersce_0006,papersce_0007,papersce_0008,papersce_0009,papersce_0010,papersce_0011,papersce_0012,papersce_0013,papersce_0014,papersce_0015,papersce_0016,papersce_0017,papersce_0018,papersce_0019,papersce_0020,papersce_0021,papersce_0022,papersce_0023,papersce_0024,papersce_0025,papersce_0026,papersce_0027,papersce_0028,papersce_0029,papersce_0030,papersce_0031,papersce_0032,papersce_0033,papersce_0034,papersce_0035,papersce_0036,papersce_0037,papersce_0038,papersce_0039,papersce_0040,papersce_0041,papersce_0042,papersce_0043,papersce_0044,papersce_0045,papersce_0046,papersce_0047,papersce_0048,papersce_0049,papersce_0050,papersce_0051,papersce_0052,papersce_0053,papersce_0054,papersce_0055,papersce_0056,papersce_0057,papersce_0058,papersce_0059,papersce_0060,papersce_0061,papersce_0062,papersce_0063,papersce_0064,papersce_0065,papersce_0066,papersce_0067,papersce_0068,papersce_0069,papersce_0070,papersce_0071,papersce_0072,papersce_0073,papersce_0074,papersce_0075,papersce_0076,papersce_0077,papersce_0078,papersce_0079,papersce_0080,papersce_0081,papersce_0082,papersce_0083,papersce_0084,papersce_0085,papersce_0086,papersce_0087,papersce_0088,papersce_0089,papersce_0090,papersce_0091,papersce_0092,papersce_0093,papersce_0094,papersce_0095,papersce_0096,papersce_0097,papersce_0098,papersce_0099,papersce_0100,papersce_0101,papersce_0102,papersce_0103,papersce_0104,papersce_0105,papersce_0106,papersce_0107,papersce_0108,papersce_0109,papersce_0110,papersce_0111,papersce_0112,papersce_0113,papersce_0114,papersce_0115,papersce_0116,papersce_0117,papersce_0118,papersce_0119,papersce_0120,papersce_0121,papersce_0122,papersce_0123,papersce_0124,papersce_0125,papersce_0126,papersce_0127,papersce_0128,papersce_0129,papersce_0130,papersce_0131,papersce_0132,papersce_0133,papersce_0134,papersce_0135,papersce_0136,papersce_0137,papersce_0138,papersce_0139,papersce_0140,papersce_0141,papersce_0142,papersce_0143,papersce_0144
500,0.7171,0.7944,0.7097,0.7922,0.653,0.6905,0.5084,0.511,0.6443,0.6674,0.6535,0.7204,0.6463,0.7166,0.589,0.5982,0.6916,0.7401,0.563,0.5793,0.5738,0.5838,0.554,0.5679,0.6153,0.6252,0.6206,0.6336,0.6189,0.633,0.6127,0.6295,0.6523,0.6749,0.2864,0.281,0.5481,0.5537,0.208,0.2377,0.0548,0.0561,0.4566,0.4588,0.3768,0.3783,0.0879,0.0883,0.2027,0.2065,0.0531,0.0564,0.088,0.0815,0.4372,0.438,0.728,0.8013,0.4705,0.475,0.613,0.6452,0.6179,0.6462,0.6975,0.7555,0.3751,0.3655,0.5852,0.5925,0.6385,0.6447,0.28,0.2794,0.6052,0.6136,0.6882,0.7114,0.6837,0.71,0.1264,0.1238,0.4054,0.4001,0.3909,0.3836,0.3899,0.3866,0.4028,0.4,0.3813,0.3861,0.516,0.5191,0.4098,0.4115,0.5375,0.5434,0.5139,0.5209,0.4869,0.4968,0.6994,0.7612,0.586,0.5994,0.414,0.4142,0.6496,0.6623,0.1673,0.1686,0.7061,0.7613,0.2043,0.1993,0.2066,0.2059,0.4054,0.4084,0.6068,0.6151,0.6477,0.6756,0.529,0.529,0.5962,0.6086,0.7012,0.7492,0.7867,0.8916,0.7743,0.8507,0.7978,0.895,0.7641,0.8527,0.7204,0.8365,0.7695,0.846,0.8098,0.899
510,0.7153,0.7922,0.7082,0.7901,0.6426,0.6765,0.4816,0.4834,0.6266,0.6455,0.6476,0.7127,0.641,0.7089,0.5741,0.5818,0.6899,0.7379,0.5397,0.5538,0.5494,0.558,0.5083,0.516,0.5975,0.6049,0.6065,0.6179,0.6046,0.6173,0.5957,0.6094,0.642,0.6623,0.2743,0.2694,0.5373,0.5421,0.1986,0.2257,0.0562,0.0577,0.4481,0.4502,0.3624,0.3643,0.0925,0.0932,0.1905,0.1943,0.0544,0.0582,0.0936,0.0871,0.4366,0.4379,0.73,0.8078,0.5635,0.5791,0.6154,0.6488,0.6201,0.65,0.7086,0.7744,0.4676,0.4637,0.6109,0.6233,0.649,0.6567,0.3978,0.3979,0.6264,0.6404,0.7004,0.7293,0.6959,0.7279,0.1449,0.1428,0.427,0.4217,0.422,0.4153,0.4207,0.4181,0.4311,0.4292,0.3968,0.4027,0.526,0.5293,0.4597,0.4626,0.5739,0.5827,0.5385,0.5471,0.5774,0.5953,0.7186,0.8039,0.6401,0.6662,0.457,0.458,0.7029,0.7369,0.1839,0.1861,0.7159,0.7799,0.2698,0.264,0.272,0.2717,0.4263,0.4297,0.6341,0.6472,0.6873,0.7327,0.5427,0.5438,0.6151,0.6309,0.7214,0.7861,0.7786,0.882,0.7709,0.8495,0.79,0.8849,0.7614,0.8513,0.7207,0.8409,0.764,0.8403,0.8025,0.89
520,0.7129,0.7879,0.706,0.7864,0.6294,0.6597,0.4568,0.4574,0.6075,0.6227,0.6382,0.6991,0.6331,0.6958,0.5602,0.5665,0.6841,0.7287,0.5114,0.5236,0.5201,0.5271,0.4457,0.4497,0.5757,0.5815,0.5891,0.5987,0.5875,0.5979,0.5745,0.5856,0.6277,0.6453,0.2705,0.266,0.5325,0.5364,0.1946,0.2207,0.057,0.0584,0.4469,0.4495,0.3578,0.3598,0.0965,0.0971,0.1847,0.1883,0.0555,0.0594,0.0974,0.0905,0.4425,0.4439,0.7264,0.8026,0.616,0.6465,0.5974,0.625,0.6017,0.6262,0.7128,0.7826,0.525,0.5254,0.6067,0.6185,0.6539,0.662,0.5203,0.5268,0.6176,0.6302,0.6978,0.7259,0.6926,0.7245,0.1626,0.1604,0.4483,0.4438,0.4537,0.4488,0.4521,0.4515,0.4561,0.4554,0.4124,0.4193,0.5319,0.5357,0.5079,0.512,0.6055,0.6189,0.5581,0.5686,0.6492,0.6824,0.7249,0.8256,0.6865,0.7345,0.497,0.4985,0.7261,0.7787,0.2045,0.2077,0.72,0.7894,0.37,0.364,0.3723,0.3727,0.4483,0.4531,0.6565,0.6741,0.7145,0.7816,0.5547,0.5578,0.6284,0.6476,0.7374,0.8209,0.7683,0.87,0.7657,0.8452,0.7795,0.8712,0.7569,0.8467,0.7196,0.8432,0.7569,0.8328,0.7925,0.8768
530,0.7093,0.7815,0.7023,0.7807,0.6145,0.6402,0.4343,0.4341,0.5887,0.6006,0.6266,0.6814,0.6219,0.6778,0.5464,0.5513,0.6743,0.7155,0.4822,0.4917,0.49,0.4949,0.3792,0.3812,0.5512,0.555,0.5691,0.5776,0.5679,0.5762,0.5506,0.559,0.6116,0.626,0.2693,0.2642,0.5288,0.5323,0.1937,0.2186,0.0567,0.0581,0.447,0.449,0.3579,0.3589,0.1002,0.1008,0.1814,0.1852,0.0555,0.0593,0.0995,0.0918,0.4536,0.4554,0.7192,0.7885,0.6328,0.6718,0.5661,0.5857,0.5702,0.5866,0.712,0.7836,0.5218,0.5204,0.5748,0.5816,0.6555,0.6636,0.5829,0.5975,0.588,0.5951,0.6867,0.7107,0.6821,0.7093,0.1774,0.1742,0.4659,0.4617,0.4984,0.4978,0.4963,0.5009,0.4702,0.4708,0.4295,0.4373,0.5357,0.5394,0.5439,0.5501,0.6237,0.6411,0.567,0.579,0.6924,0.7451,0.7264,0.8363,0.7134,0.7866,0.5215,0.5235,0.7358,0.7988,0.2261,0.2293,0.7203,0.792,0.4782,0.4761,0.482,0.4849,0.4673,0.4726,0.6684,0.6899,0.7296,0.8165,0.5608,0.5645,0.6323,0.6532,0.745,0.8445,0.761,0.8606,0.7631,0.8432,0.7715,0.8602,0.7531,0.8428,0.7183,0.8456,0.7522,0.8266,0.7852,0.8663
540,0.7043,0.7732,0.6978,0.7725,0.5973,0.6195,0.4179,0.4181,0.5735,0.5834,0.6117,0.6599,0.6082,0.6566,0.535,0.5394,0.6636,0.6996,0.4569,0.4645,0.4631,0.4678,0.3161,0.3173,0.5254,0.5279,0.5475,0.5544,0.5461,0.5529,0.5256,0.5319,0.595,0.6071,0.2743,0.2691,0.5333,0.5376,0.1947,0.2208,0.0611,0.0625,0.4543,0.4567,0.362,0.3635,0.1177,0.1197,0.1857,0.1894,0.0601,0.0639,0.1133,0.1038,0.476,0.4795,0.7088,0.7677,0.6291,0.6673,0.5253,0.5373,0.5286,0.5383,0.7106,0.7825,0.483,0.4773,0.5273,0.5287,0.6537,0.6621,0.5899,0.607,0.5469,0.5491,0.6677,0.6872,0.6645,0.6855,0.2142,0.2093,0.4828,0.479,0.5612,0.5725,0.5573,0.5752,0.4783,0.4801,0.4497,0.4595,0.5391,0.5435,0.5889,0.6003,0.6355,0.6561,0.5713,0.5843,0.7168,0.789,0.7275,0.8444,0.7284,0.8227,0.536,0.5387,0.7403,0.8105,0.2497,0.2532,0.7195,0.7916,0.5721,0.5825,0.5782,0.5906,0.4844,0.4909,0.6764,0.7004,0.7382,0.8418,0.5621,0.5663,0.6322,0.6538,0.7492,0.8599,0.7565,0.8545,0.7619,0.8436,0.7672,0.8531,0.7513,0.8415,0.7186,0.8497,0.7502,0.8254,0.7812,0.86
550,0.6987,0.7631,0.6924,0.7627,0.5786,0.597,0.4093,0.4097,0.5626,0.5718,0.5931,0.6342,0.5922,0.6304,0.5286,0.5329,0.6508,0.6811,0.4334,0.4401,0.4384,0.4426,0.2529,0.2542,0.4964,0.4983,0.5226,0.5282,0.5207,0.5271,0.4978,0.5025,0.5772,0.5867,0.2943,0.2894,0.5549,0.5614,0.2007,0.23,0.0735,0.0752,0.48,0.4835,0.3782,0.3802,0.1699,0.174,0.2035,0.2075,0.0726,0.0771,0.1588,0.1442,0.5139,0.5231,0.6927,0.7373,0.6105,0.641,0.4712,0.4769,0.4736,0.4776,0.7076,0.7779,0.4245,0.4153,0.4654,0.463,0.6492,0.6574,0.566,0.5793,0.4924,0.4905,0.6379,0.651,0.6361,0.6488,0.3111,0.3038,0.5006,0.4973,0.6213,0.6564,0.6155,0.6582,0.4897,0.4926,0.4736,0.4858,0.5434,0.5478,0.6508,0.6783,0.6472,0.6713,0.5763,0.5905,0.7309,0.8208,0.7284,0.8505,0.7371,0.8474,0.5481,0.5518,0.744,0.8198,0.277,0.2807,0.7171,0.7887,0.6452,0.6802,0.6543,0.6871,0.5023,0.5097,0.6858,0.7139,0.7438,0.8609,0.5631,0.5676,0.6311,0.6534,0.7505,0.8693,0.7526,0.8496,0.7607,0.8437,0.763,0.8476,0.75,0.8404,0.7189,0.8537,0.7488,0.8239,0.7775,0.8545
560,0.6919,0.7506,0.686,0.7508,0.5577,0.5724,0.4073,0.4069,0.5554,0.5642,0.5711,0.604,0.5731,0.6007,0.5248,0.5288,0.635,0.6602,0.4091,0.4148,0.4129,0.4169,0.1956,0.1968,0.4659,0.4677,0.4958,0.5009,0.494,0.4993,0.4687,0.4719,0.5578,0.5649,0.3401,0.3356,0.5979,0.6108,0.2171,0.2514,0.0975,0.0989,0.5334,0.5403,0.4219,0.4233,0.2782,0.2832,0.2424,0.2463,0.0982,0.1024,0.2573,0.2344,0.5673,0.5903,0.6688,0.6981,0.5791,0.5992,0.408,0.4103,0.4092,0.4103,0.7044,0.7714,0.3585,0.3482,0.3962,0.3927,0.6469,0.6557,0.5217,0.5295,0.43,0.4257,0.5975,0.6049,0.5968,0.602,0.4628,0.4619,0.5173,0.5146,0.658,0.7212,0.6512,0.7228,0.5141,0.5211,0.496,0.5113,0.5479,0.5524,0.7067,0.7628,0.6671,0.699,0.5902,0.607,0.7404,0.8421,0.7304,0.857,0.7416,0.8636,0.5683,0.5731,0.7471,0.829,0.3035,0.3077,0.7149,0.7845,0.6894,0.7564,0.7015,0.7626,0.5184,0.5273,0.703,0.7387,0.748,0.8745,0.5699,0.5757,0.6302,0.6522,0.7525,0.8764,0.7508,0.8465,0.7612,0.8452,0.7609,0.8439,0.7503,0.8414,0.7197,0.8584,0.7489,0.8241,0.7759,0.8506
570,0.6846,0.7385,0.6794,0.7395,0.5382,0.5507,0.4097,0.4095,0.5535,0.5615,0.5475,0.5742,0.5528,0.5709,0.5226,0.5263,0.6203,0.641,0.3897,0.3937,0.3917,0.3951,0.1554,0.1566,0.4403,0.4416,0.4725,0.4772,0.4705,0.4748,0.4431,0.4456,0.539,0.545,0.4131,0.4093,0.645,0.6736,0.2451,0.2931,0.1455,0.1457,0.5981,0.615,0.4937,0.4974,0.4161,0.4233,0.3105,0.3142,0.149,0.1526,0.386,0.3664,0.6173,0.6674,0.6402,0.6564,0.5421,0.5544,0.3521,0.3528,0.3526,0.3529,0.6994,0.7633,0.3033,0.2933,0.3387,0.3351,0.6457,0.6544,0.4732,0.4776,0.3747,0.3702,0.5546,0.5591,0.5553,0.5551,0.5807,0.6047,0.5311,0.5299,0.6732,0.757,0.6656,0.7587,0.5489,0.5637,0.5104,0.5283,0.5505,0.5551,0.732,0.8141,0.6919,0.7376,0.6098,0.6308,0.7431,0.8515,0.7298,0.8607,0.7429,0.8709,0.5945,0.6017,0.7489,0.8358,0.3254,0.3296,0.7118,0.7796,0.7097,0.8041,0.7232,0.8085,0.5328,0.5432,0.7243,0.773,0.7488,0.8821,0.5808,0.5881,0.6271,0.6485,0.7523,0.8802,0.7478,0.8433,0.76,0.8456,0.7583,0.8403,0.7495,0.8412,0.7197,0.8609,0.7479,0.8236,0.7736,0.8476
580,0.6775,0.7271,0.6727,0.7285,0.5212,0.5317,0.4159,0.4158,0.5554,0.5639,0.5218,0.5433,0.5305,0.5399,0.5225,0.5266,0.6051,0.6226,0.3772,0.3799,0.3775,0.3805,0.1275,0.1284,0.4175,0.4184,0.4513,0.4552,0.4491,0.4533,0.4206,0.4226,0.5212,0.5262,0.5097,0.5107,0.6876,0.7424,0.2829,0.3582,0.2311,0.2308,0.6609,0.6982,0.5868,0.5991,0.5537,0.5718,0.4146,0.4187,0.2416,0.2442,0.5169,0.5215,0.656,0.7457,0.6096,0.6166,0.5039,0.5106,0.3048,0.3048,0.3049,0.3052,0.6938,0.7551,0.2581,0.2494,0.2941,0.2907,0.642,0.6508,0.428,0.4305,0.3276,0.3233,0.5112,0.5151,0.5131,0.5101,0.6484,0.7096,0.5474,0.5479,0.6807,0.7811,0.673,0.7832,0.5857,0.6121,0.5206,0.5403,0.5528,0.5574,0.7427,0.8436,0.7173,0.7854,0.6293,0.6559,0.7434,0.8559,0.7295,0.8639,0.7436,0.8764,0.6225,0.6341,0.7502,0.8416,0.3451,0.3497,0.7088,0.7751,0.7204,0.8367,0.7344,0.8402,0.5489,0.5611,0.7451,0.812,0.7494,0.8877,0.5902,0.5997,0.6249,0.6458,0.7517,0.8831,0.7462,0.8431,0.7591,0.846,0.7567,0.84,0.7482,0.8411,0.7194,0.8641,0.7471,0.8241,0.772,0.847
590,0.671,0.7169,0.6666,0.7187,0.5075,0.5165,0.4301,0.4311,0.5641,0.5746,0.4968,0.5138,0.5092,0.5109,0.5285,0.5334,0.5914,0.6061,0.3743,0.3771,0.374,0.3772,0.1105,0.1116,0.3983,0.3995,0.4326,0.4365,0.4303,0.4345,0.4022,0.4041,0.5063,0.5101,0.605,0.6192,0.7169,0.8023,0.3203,0.4347,0.3503,0.3498,0.7043,0.7697,0.6708,0.7024,0.6496,0.6911,0.5337,0.5435,0.3713,0.3736,0.6084,0.6558,0.6773,0.804,0.5832,0.5843,0.4686,0.4721,0.2695,0.2694,0.2692,0.2691,0.6887,0.7475,0.2236,0.2156,0.2658,0.2627,0.6338,0.642,0.393,0.3941,0.2901,0.2861,0.4705,0.4738,0.4727,0.4678,0.6783,0.7736,0.5674,0.5713,0.685,0.7972,0.6775,0.7988,0.61,0.647,0.529,0.551,0.5582,0.5632,0.7462,0.8571,0.7358,0.8294,0.6408,0.6715,0.7425,0.8556,0.7295,0.8664,0.7439,0.8801,0.6427,0.6582,0.7509,0.8464,0.3616,0.3669,0.7065,0.7715,0.7247,0.8555,0.7391,0.8591,0.5685,0.5834,0.7594,0.8437,0.7498,0.8914,0.5924,0.603,0.6268,0.649,0.752,0.8856,0.7477,0.8457,0.7594,0.8483,0.7581,0.8439,0.7486,0.8428,0.72,0.8675,0.7485,0.8278,0.7729,0.8506
600,0.6628,0.7047,0.6594,0.707,0.4925,0.5001,0.4514,0.4528,0.58,0.5927,0.4733,0.487,0.4888,0.4841,0.5356,0.541,0.5768,0.5885,0.3743,0.3771,0.3733,0.3768,0.0976,0.0988,0.3781,0.3795,0.4124,0.4164,0.4098,0.4143,0.3825,0.3841,0.4903,0.4932,0.6727,0.7072,0.7305,0.8405,0.3463,0.4975,0.4721,0.4738,0.7253,0.8162,0.7203,0.778,0.6963,0.7666,0.6284,0.6545,0.5042,0.5108,0.6521,0.7431,0.6858,0.8356,0.5618,0.5586,0.4364,0.4386,0.2412,0.2412,0.2407,0.2409,0.6836,0.7386,0.1961,0.1886,0.2476,0.2454,0.6216,0.6288,0.3684,0.369,0.258,0.2543,0.4298,0.4332,0.4322,0.4264,0.691,0.8094,0.5888,0.5961,0.6884,0.8086,0.681,0.8102,0.6163,0.6567,0.5395,0.5651,0.569,0.5748,0.7484,0.8632,0.7458,0.8577,0.6406,0.672,0.742,0.8537,0.7304,0.8699,0.7447,0.8841,0.6496,0.6666,0.7526,0.8517,0.3731,0.3784,0.7048,0.7683,0.7286,0.8687,0.7433,0.8723,0.5896,0.6081,0.7665,0.8625,0.7507,0.896,0.5848,0.594,0.631,0.6544,0.7525,0.8884,0.7499,0.8513,0.761,0.8523,0.7606,0.8502,0.7503,0.8466,0.7206,0.871,0.7514,0.8348,0.7754,0.8564
610,0.6535,0.6904,0.651,0.6935,0.4763,0.4825,0.4869,0.4899,0.6061,0.6235,0.4582,0.4696,0.4753,0.4669,0.5422,0.548,0.5605,0.5697,0.375,0.3778,0.3732,0.3762,0.0893,0.09,0.3575,0.359,0.3921,0.3959,0.3889,0.3932,0.3623,0.3637,0.473,0.4752,0.713,0.772,0.7358,0.8623,0.3613,0.5418,0.5706,0.582,0.7351,0.8442,0.743,0.8255,0.7173,0.8126,0.6878,0.7382,0.6087,0.6303,0.6705,0.7951,0.6882,0.851,0.5483,0.5429,0.4102,0.4113,0.2213,0.2211,0.2203,0.2207,0.6764,0.7279,0.1764,0.1693,0.2387,0.2366,0.6123,0.6186,0.3522,0.3526,0.2342,0.231,0.4009,0.4049,0.4038,0.3973,0.6972,0.8317,0.6106,0.6225,0.6898,0.8162,0.6823,0.8174,0.6125,0.6504,0.5521,0.5827,0.584,0.5911,0.7483,0.8658,0.7493,0.8726,0.6339,0.6632,0.7401,0.8505,0.7296,0.872,0.7443,0.8863,0.647,0.6632,0.7536,0.8561,0.3801,0.3857,0.7021,0.7645,0.7305,0.8783,0.7456,0.881,0.6112,0.6342,0.7692,0.8722,0.7508,0.8992,0.5715,0.5786,0.6355,0.6603,0.7522,0.8897,0.7518,0.8573,0.7623,0.8576,0.7622,0.8578,0.7518,0.8536,0.7202,0.8731,0.7528,0.8431,0.7771,0.8639
620,0.6461,0.6804,0.6441,0.6836,0.465,0.4703,0.5379,0.5452,0.6402,0.6678,0.4562,0.4679,0.4731,0.465,0.5517,0.5588,0.548,0.5565,0.3804,0.3828,0.3778,0.3804,0.087,0.0876,0.3439,0.3454,0.3784,0.3819,0.3745,0.3793,0.3493,0.3508,0.4602,0.462,0.7338,0.8147,0.7382,0.8741,0.3692,0.5713,0.6312,0.6583,0.74,0.8603,0.752,0.8511,0.7265,0.8389,0.7164,0.7905,0.6681,0.7124,0.6779,0.8237,0.6889,0.8598,0.5476,0.5427,0.3994,0.4,0.2144,0.2141,0.2133,0.2137,0.6712,0.7208,0.1688,0.162,0.2408,0.2389,0.6122,0.6185,0.3498,0.3502,0.2245,0.2218,0.3971,0.4016,0.4,0.3936,0.7011,0.8462,0.6316,0.6503,0.6907,0.8227,0.683,0.8238,0.6071,0.6432,0.5643,0.6008,0.6001,0.6092,0.7487,0.8678,0.7509,0.8806,0.6281,0.6561,0.74,0.8507,0.7295,0.8744,0.7448,0.8887,0.643,0.658,0.7546,0.8608,0.3851,0.3908,0.7007,0.7631,0.7314,0.8848,0.7465,0.8873,0.6321,0.6608,0.7706,0.8779,0.7509,0.9026,0.5604,0.5661,0.6422,0.6699,0.7515,0.8914,0.7548,0.8665,0.7641,0.8651,0.7654,0.8688,0.755,0.8651,0.7204,0.8762,0.7554,0.8535,0.7803,0.8748
630,0.6438,0.6774,0.6415,0.681,0.4634,0.4682,0.5965,0.614,0.6756,0.7195,0.4626,0.4756,0.4786,0.4729,0.5683,0.5781,0.5442,0.5523,0.3943,0.3975,0.3921,0.3948,0.0902,0.091,0.3419,0.3436,0.3748,0.3787,0.371,0.3763,0.3476,0.3493,0.4572,0.4587,0.7429,0.8394,0.7391,0.8801,0.3747,0.5967,0.663,0.707,0.7412,0.8687,0.7559,0.864,0.7302,0.8533,0.7287,0.821,0.6943,0.7607,0.6802,0.8383,0.689,0.8646,0.5568,0.5535,0.4021,0.4026,0.2184,0.2185,0.2176,0.218,0.6699,0.7191,0.171,0.1636,0.2522,0.2504,0.6182,0.6248,0.359,0.3594,0.2264,0.2239,0.4071,0.4119,0.4096,0.4038,0.7015,0.8545,0.6509,0.6772,0.6913,0.8277,0.6837,0.8283,0.6055,0.6413,0.574,0.6163,0.6152,0.6265,0.7484,0.8683,0.7516,0.8847,0.6268,0.6549,0.7398,0.8518,0.7299,0.8755,0.7447,0.89,0.642,0.6571,0.7545,0.8643,0.3915,0.3975,0.7014,0.7646,0.7311,0.8878,0.746,0.89,0.6501,0.6862,0.7711,0.8812,0.7506,0.9046,0.5563,0.5616,0.6529,0.6855,0.751,0.8922,0.7583,0.8774,0.7662,0.8729,0.7691,0.8815,0.7588,0.8769,0.7205,0.8786,0.7585,0.8637,0.7836,0.8884
640,0.6452,0.6796,0.6431,0.6834,0.4686,0.4737,0.652,0.6881,0.7051,0.7712,0.4714,0.4858,0.4854,0.4833,0.593,0.6068,0.5472,0.5552,0.4165,0.4211,0.4146,0.4181,0.0949,0.0956,0.3482,0.3499,0.3789,0.3827,0.3751,0.3799,0.3538,0.3554,0.4615,0.4632,0.7468,0.8552,0.7391,0.8841,0.3811,0.6257,0.682,0.7415,0.7415,0.8745,0.7571,0.8721,0.7315,0.863,0.7356,0.8407,0.7074,0.7909,0.6812,0.8489,0.6875,0.8672,0.5681,0.5672,0.4111,0.4121,0.2277,0.2278,0.2269,0.2272,0.6711,0.7211,0.1776,0.1698,0.2676,0.2652,0.6245,0.6317,0.3741,0.3749,0.2334,0.2312,0.417,0.4215,0.4197,0.4139,0.7015,0.8611,0.6675,0.702,0.6911,0.8311,0.6833,0.8311,0.6073,0.6443,0.5826,0.6316,0.6289,0.6425,0.7475,0.8688,0.7511,0.8868,0.6288,0.658,0.7391,0.8533,0.7285,0.8762,0.7436,0.8904,0.6444,0.6604,0.7543,0.8683,0.4023,0.4081,0.7027,0.7688,0.7307,0.8907,0.7455,0.8929,0.6665,0.7104,0.7716,0.8849,0.7499,0.9063,0.5582,0.5637,0.6672,0.7073,0.7505,0.8926,0.7607,0.8873,0.7675,0.8798,0.7716,0.8937,0.7601,0.8856,0.72,0.8804,0.7607,0.8743,0.7863,0.9013
650,0.6478,0.6843,0.6461,0.6876,0.476,0.4817,0.6934,0.7547,0.7251,0.8141,0.4745,0.4894,0.4864,0.4869,0.6209,0.641,0.5528,0.5616,0.4415,0.4482,0.4399,0.4446,0.0967,0.0972,0.3564,0.3577,0.3849,0.3882,0.3807,0.3858,0.3617,0.3635,0.4691,0.4713,0.7499,0.8656,0.7396,0.8877,0.3871,0.6595,0.6948,0.7667,0.7421,0.8794,0.7581,0.8782,0.7336,0.8713,0.7402,0.8556,0.7155,0.8112,0.682,0.8581,0.687,0.8702,0.5737,0.5749,0.4162,0.4175,0.2328,0.2328,0.2315,0.2316,0.6735,0.7251,0.1792,0.1712,0.2776,0.2753,0.6254,0.6333,0.3857,0.3871,0.2337,0.2319,0.4112,0.4151,0.4147,0.4082,0.7024,0.8666,0.6808,0.7239,0.6909,0.8349,0.6832,0.8349,0.6106,0.6493,0.5905,0.6469,0.6414,0.6575,0.7472,0.8707,0.7509,0.8886,0.6323,0.6631,0.7384,0.8524,0.7278,0.8773,0.7432,0.8915,0.6485,0.6653,0.7557,0.8736,0.4137,0.42,0.7052,0.7744,0.731,0.8945,0.7459,0.8968,0.6808,0.7322,0.7724,0.8889,0.7503,0.9085,0.5618,0.5681,0.6827,0.7335,0.7501,0.8936,0.7632,0.8969,0.769,0.8872,0.7739,0.9048,0.7617,0.8933,0.7206,0.8831,0.763,0.8852,0.7888,0.9137
660,0.6482,0.6853,0.6463,0.6888,0.4785,0.4848,0.7165,0.8024,0.7342,0.8406,0.4606,0.4736,0.4719,0.4711,0.6455,0.6737,0.5559,0.565,0.4613,0.4697,0.4593,0.465,0.0916,0.0921,0.3589,0.3602,0.3861,0.3901,0.3823,0.3876,0.3646,0.3665,0.4732,0.4753,0.7511,0.8708,0.7394,0.8901,0.3919,0.6934,0.7026,0.785,0.7425,0.8822,0.7591,0.8823,0.7355,0.8788,0.7428,0.8659,0.72,0.8241,0.6829,0.865,0.6866,0.8723,0.5661,0.5666,0.4039,0.4049,0.2234,0.2237,0.2222,0.2225,0.674,0.7268,0.167,0.1589,0.2724,0.2711,0.6128,0.6197,0.3818,0.3833,0.2175,0.2165,0.3708,0.3734,0.3745,0.3675,0.7029,0.8707,0.691,0.7412,0.6907,0.8384,0.6832,0.8384,0.6121,0.6519,0.5966,0.6592,0.6516,0.6698,0.747,0.8723,0.7504,0.889,0.6332,0.6651,0.7347,0.8433,0.7272,0.8781,0.7433,0.8927,0.6499,0.668,0.7568,0.8793,0.4221,0.4288,0.707,0.7788,0.7315,0.898,0.7469,0.9002,0.6906,0.7493,0.7727,0.8914,0.7503,0.9112,0.5628,0.5699,0.6965,0.7586,0.7492,0.894,0.7641,0.9038,0.7703,0.8932,0.775,0.9126,0.7626,0.8982,0.7201,0.8843,0.7645,0.8945,0.7894,0.9231
670,0.6474,0.6843,0.6452,0.6887,0.478,0.4838,0.7276,0.833,0.7377,0.8548,0.4453,0.4558,0.4573,0.4533,0.6677,0.7066,0.5566,0.5661,0.4775,0.487,0.4741,0.4806,0.0871,0.0876,0.3578,0.3594,0.3854,0.3895,0.3812,0.3867,0.3637,0.3657,0.4743,0.4766,0.7511,0.8742,0.739,0.8923,0.3965,0.7284,0.708,0.7992,0.7427,0.8854,0.7598,0.8863,0.7363,0.8846,0.7446,0.874,0.7229,0.8338,0.6836,0.8704,0.6855,0.8734,0.5564,0.5551,0.3787,0.3788,0.2105,0.2108,0.2089,0.2099,0.6739,0.727,0.1508,0.1428,0.264,0.2628,0.5957,0.6005,0.3681,0.369,0.1987,0.1983,0.3185,0.3205,0.3219,0.3149,0.7028,0.873,0.699,0.7558,0.6912,0.8416,0.6831,0.841,0.6125,0.6533,0.6018,0.6697,0.6589,0.6797,0.7472,0.8729,0.7502,0.8897,0.6331,0.6651,0.7296,0.8311,0.7274,0.879,0.7429,0.894,0.6494,0.6675,0.7577,0.8846,0.4282,0.4348,0.7084,0.7822,0.7319,0.901,0.747,0.9032,0.6981,0.7632,0.7728,0.8944,0.7502,0.9135,0.5632,0.5706,0.708,0.7825,0.7488,0.895,0.7646,0.9101,0.771,0.898,0.7762,0.9198,0.7626,0.9023,0.7203,0.8862,0.7663,0.9034,0.7909,0.9316
