390,-3.23943
395,-2.82259
400,-2.44748
405,-2.12781
410,-1.85388
415,-1.64298
420,-1.47096
425,-1.33935
430,-1.22021
435,-1.11560
440,-1.02891
445,-0.96154
450,-0.89526
455,-0.83918
460,-0.77081
465,-0.69533
470,-0.62978
475,-0.57130
480,-0.51142
485,-0.45174
490,-0.39815
495,-0.33542
500,-0.27818
505,-0.22229
510,-0.17049
515,-0.12462
520,-0.08324
525,-0.05578
530,-0.03701
535,-0.02165
540,-0.00585
545,-0.00001
550,-0.00308
555,-0.00307
560,-0.00929
565,-0.01737
570,-0.03045
575,-0.05049
580,-0.07884
585,-0.10306
590,-0.13356
595,-0.17152
600,-0.21538
605,-0.26443
610,-0.32118
615,-0.38467
620,-0.45439
625,-0.52928
630,-0.61840
635,-0.71518
640,-0.81520
645,-0.91896
650,-1.03656
655,-1.16442
660,-1.29762
665,-1.43555
670,-1.57800
675,-1.72577
680,-1.87931
685,-2.03895
690,-2.20557
695,-2.36623
700,-2.52673
705,-2.68867
710,-2.85573
715,-3.02309
720,-3.18660
725,-3.34954
730,-3.50933
735,-3.66849
740,-3.82798
745,-3.98209
750,-4.13673
755,-4.28894
760,-4.43888
765,-4.58819
770,-4.73471
775,-4.88190
780,-5.02433
785,-5.16607
790,-5.30661
795,-5.44632
800,-5.58327
805,-5.71815
810,-5.85390
815,-5.98710
820,-6.11721
825,-6.24693
830,-6.37530
