x,y,Y,X,Z,L,a,b,C,h
0.447156799459,0.40782160456,0,0,0,0,0,0,0,0
0.00439103587715,0.63880892619,1,0.006873786037,0.558539530844,8.99144240437,-38.5121280151,-6.99855190754,39.1428631178,190.299585333
0.00527366007792,0.67586366645,1,0.007802845958,0.471785493584,8.99144240437,-38.4791369483,-4.25811430534,38.7140222364,186.314678064
0.00514078167292,0.599173253899,1,0.008579791637,0.660386560737,8.99144240437,-38.4515474825,-9.87463267503,39.6992427418,194.402730516
0.00848463511267,0.713080418404,1,0.011898566969,0.39046780601,8.99144240437,-38.333697238,-1.36463174102,38.3579791402,182.03879724
0.00745802914931,0.556891895318,1,0.013392238623,0.782288410364,8.99144240437,-38.2806567179,-12.9513084402,40.4121896099,198.691970565
0.0138970780502,0.746164066856,1,0.018624694846,0.321563133032,8.99144240437,-38.0948513579,1.42114727271,38.1213504423,177.86354334
0.0112642082405,0.512502550119,1,0.021978833545,0.929230969739,8.99144240437,-37.9757453545,-16.2608070134,41.3106654504,203.180089971
0.021455516367,0.774392056877,1,0.027706271231,0.263629288218,8.99144240437,-37.7723631233,3.95643669341,37.9790048214,174.020402769
0.0161955693177,0.469912509627,1,0.034465073787,1.09359063768,8.99144240437,-37.53235696,-19.5718423289,42.3288888482,207.540502528
0.0309590296142,0.797214764328,1,0.038833989283,0.21553314583,8.99144240437,-37.3772160698,6.06288123417,37.8657471864,170.786417787
0.0220757870636,0.427560711278,1,0.051631935492,1.28721720013,8.99144240437,-36.9227589464,-23.0709446687,43.5380134609,211.998933319
0.04214864194,0.814269970079,1,0.051762490929,0.176331429694,8.99144240437,-36.9181229019,7.77978069519,37.7289383135,168.100130824
0.0547121466233,0.825632804965,1,0.066266924345,0.14492525938,8.99144240437,-36.4030681441,9.15526223528,37.5366780216,165.883058914
0.0288183133942,0.385338623189,1,0.074786983863,1.52033309967,8.99144240437,-36.1005194635,-26.8453694791,44.9880136037,216.635537999
0.0682848904317,0.831836550281,1,0.082089312388,0.120069933515,8.99144240437,-35.8412126059,10.2438394658,37.2763835164,164.049441738
0.0825737457763,0.833509153573,1,0.099067593226,0.100679279035,8.99144240437,-35.2383111292,11.0930830068,36.9431328102,162.525905332
0.0359669045645,0.346094157568,1,0.103922310672,1.78546480591,8.99144240437,-35.0659193337,-30.6948669052,46.6025058666,221.19720177
0.0982433415622,0.831166592717,1,0.118199338644,0.084928901545,8.99144240437,-34.5589397796,11.7828950173,36.5124216354,161.173153747
0.114443153401,0.825872672762,1,0.138572393997,0.072268009108,8.99144240437,-33.8354893151,12.3373982775,36.0146044467,159.966681351
0.0433561656635,0.309458820329,1,0.140103182767,2.09134453921,8.99144240437,-33.7811307603,-34.6882799094,48.4194336865,225.759065636
0.130775724526,0.81864974148,1,0.159745637114,0.061777988108,8.99144240437,-33.0836240548,12.7968248836,35.472311846,158.853410516
0.146945890589,0.810188978382,1,0.181372364362,0.052907571162,8.99144240437,-32.3156555001,13.1853184389,34.9020660239,157.803733374
0.0510602263053,0.274589181586,1,0.185951340145,2.45585273321,8.99144240437,-32.1530553354,-38.9672324313,50.5199383487,230.472917079
0.162692379718,0.801062900424,1,0.2030956366,0.045245785117,8.99144240437,-31.5442586174,13.5208781446,34.3198834136,156.798478378
0.178010783482,0.791495999813,1,0.22490421117,0.038526052831,8.99144240437,-30.7698326352,13.8151791569,33.728945663,155.820656899
0.0585724838949,0.244267502603,1,0.239788278304,2.85408417441,8.99144240437,-30.2412970231,-43.1822940663,52.718559981,234.995789716
