x,y,Y,X,Z,L,a,b,C,h
0.309998046963,0.31649525444,0,0,0,0,0,0,0,0
0.00423051421741,0.620084946086,1,0.006822475282,0.605859797224,8.99144240437,-38.4850155272,7.5070319896,39.21035513,168.962271458
0.00451829007155,0.661605415103,1,0.00682928218,0.504645650117,8.99144240437,-38.4847449447,8.84274225394,39.4875889873,167.059607233
0.00686938825129,0.700089425452,1,0.009812158278,0.418576792682,8.99144240437,-38.3661719732,9.97858205106,39.6425939064,165.421059574
0.00590206873096,0.575743932473,1,0.010251204395,0.726632058455,8.99144240437,-38.3487193533,5.91321577334,38.801938055,171.234262419
0.0113903622241,0.734873746875,1,0.0154997539,0.345278208645,8.99144240437,-38.1400830941,10.9458941696,39.6796993133,163.986950761
0.00935843455019,0.529027786585,1,0.017689873363,0.872570005907,8.99144240437,-38.053023168,3.9872911873,38.2613520833,174.01823284
0.0181204949163,0.765123082189,1,0.023683111042,0.283296149261,8.99144240437,-37.8147846435,11.7638635473,39.6023537582,162.719518552
0.0143896168092,0.480930133895,1,0.029920389252,1.04938371237,8.99144240437,-37.5668452095,1.65397734587,37.6032378933,177.479033451
0.0276174801354,0.791465462154,1,0.03489410651,0.228584905295,8.99144240437,-37.3691338681,12.4858808959,39.3998653272,161.524349296
0.0207914340854,0.432531688663,1,0.048069158007,1.26390017559,8.99144240437,-36.8454094645,-0.996273490782,36.8588762644,181.548859459
0.0391938859183,0.811315830041,1,0.048309036342,0.184256584804,8.99144240437,-36.8358740074,13.0708761201,39.0861793533,160.463231617
0.0524776709982,0.82451647856,1,0.063646600599,0.14918543612,8.99144240437,-36.2261870779,13.5337056219,38.6716668643,159.514864015
0.0283246284285,0.384808899386,1,0.073606999406,1.5250854986,8.99144240437,-35.8302490487,-3.8449560234,36.0359602857,186.124990259
0.0669852777836,0.831664499513,1,0.080543630061,0.121864312788,8.99144240437,-35.5545095001,13.8942590219,38.1729430298,158.655061594
0.0823049926858,0.833539991585,1,0.098741504327,0.100960981571,8.99144240437,-34.8311217509,14.1701176332,37.6031817293,157.862354713
0.0366780782669,0.338813602273,1,0.108254444393,1.84322091932,8.99144240437,-34.4529707537,-6.9046357579,35.1380305183,191.332383975
0.0981733008163,0.831184498818,1,0.118112526107,0.084989795246,8.99144240437,-34.061099954,14.3808873538,36.9725364447,157.11011357
0.114382476513,0.825896487437,1,0.138494930361,0.072310558234,8.99144240437,-33.2508744672,14.5482136368,36.2942305726,156.369239534
0.0451161636638,0.297574809861,1,0.151612845472,2.20888665537,8.99144240437,-32.7294213048,-10.0132895246,34.2269044182,197.011047876
0.130724194182,0.818674934874,1,0.159677777605,0.061808257208,8.99144240437,-32.4088303931,14.6868111717,35.5813815055,155.621243442
0.146902354229,0.810213195137,1,0.181313208808,0.052929834878,8.99144240437,-31.5487955533,14.8039785853,34.849451686,154.862119664
0.162655170551,0.801085312076,1,0.203043506227,0.045262991128,8.99144240437,-30.6849896654,14.90515695,34.1135206988,154.091952346
0.0536117042417,0.260046204331,1,0.206162225592,2.63930824598,8.99144240437,-30.561016758,-13.2598853616,33.3136654406,203.455170213
0.177978025288,0.791517164997,1,0.22485681064,0.038539669212,8.99144240437,-29.817884148,14.9938837767,33.3754815063,153.304523649
0.19300546944,0.781455802862,1,0.246981939008,0.032680962384,8.99144240437,-28.9383832473,15.0712003878,32.6277658765,152.489358939
0.20781661852,0.770889038963,1,0.269580455833,0.027623096763,8.99144240437,-28.0400645766,15.137948399,31.8653840898,151.636786149
0.0622256608027,0.225808726548,1,0.275568007286,3.15295880514,8.99144240437,-27.8020520865,-16.7009129557,32.4326162031,210.99357147
0.222463503816,0.759854844833,1,0.29277105401,0.023269775103,8.99144240437,-27.1182099484,15.1953986329,31.0853253227,150.736376666
0.237006511396,0.748366281786,1,0.316698543433,0.019545518249,8.99144240437,-26.1670629923,15.2445471783,30.2838472509,149.775549533
0.251476905711,0.736458145754,1,0.341468021178,0.016382395395,8.99144240437,-25.182445971,15.2862905095,29.4588910624,148.741341768
0.0708915586545,0.195001202741,1,0.363544212333,3.76462928579,8.99144240437,-24.3048903843,-20.3411541448,31.6936941446,219.92650525
0.265880876919,0.724186327161,1,0.36714429277,0.01371580151,8.99144240437,-24.1617827858,15.3214812109,28.6101299173,147.620379231
0.280229961961,0.711595907943,1,0.393804909265,0.01148703921,8.99144240437,-23.1019906873,15.3508939043,27.7371937545,146.396614002
0.294545520695,0.698723470261,1,0.421548056179,0.009633294615,8.99144240437,-21.9991666812,15.3753575367,26.8396153856,145.050055695
0.308849258563,0.685602177674,1,0.450478817922,0.008092978615,8.99144240437,-20.8491335339,15.3956848916,25.9174358761,143.556622298
0.0794093375681,0.167697627343,1,0.473526899732,4.48958668657,8.99144240437,-19.9329441055,-24.1761883041,31.3338529649,230.494874804
0.323147573898,0.672268149005,1,0.480682558554,0.006819119877,8.99144240437,-19.6484979194,15.4124958438,24.972154465,141.888976283
0.337439267411,0.658756877248,1,0.512236424492,0.005774293175,8.99144240437,-18.3941931736,15.4262842893,24.0065947081,140.015131726
0.35173027942,0.645093551481,1,0.545239180601,0.004923579056,8.99144240437,-17.0822932721,15.4375110556,23.0243673317,137.89543083
0.366015482674,0.63131305891,1,0.579768591047,0.004231590616,8.99144240437,-15.7097069944,15.4466431393,22.0316517339,135.483756615
0.0875387617365,0.143798309741,1,0.608760714186,5.34542394767,8.99144240437,-14.5572346565,-28.2043214692,31.7395152827,242.700162288
0.380288659649,0.617449181141,1,0.615902767814,0.003663717239,8.99144240437,-14.2733292936,15.4541372923,21.0370693912,132.725343774
0.394542095671,0.603528293002,1,0.653725931734,0.003197217677,8.99144240437,-12.7698122886,15.4602936278,20.0521516288,129.555846774
0.40876265882,0.58957390996,1,0.693318771259,0.002821412535,8.99144240437,-11.195948515,15.4652530806,19.0924937082,125.90236357
0.422936424776,0.575609520048,1,0.734762734189,0.002526113841,8.99144240437,-9.54850032291,15.4691501001,18.178791578,121.685408175
0.0947601262607,0.124131456099,1,0.763385279113,6.29259046972,8.99144240437,-8.4107191709,-32.1883844301,33.2690890948,255.356213824
0.437042595358,0.561664514942,1,0.77812036141,0.002301889589,8.99144240437,-7.82498163583,15.4721091591,17.3382957476,116.827894324
0.451061762326,0.547765141907,1,0.82345831784,0.00214160354,8.99144240437,-6.02274244173,15.4742244337,16.6049705915,111.266548012
0.464973335183,0.533939987649,1,0.870834449449,0.002035204692,8.99144240437,-4.13965642982,15.4756285659,16.0197326715,104.975728107
0.478752425102,0.520222345285,1,0.920284238925,0.00197075274,8.99144240437,-2.21502450618,15.4764791301,15.6341849748,98.1449729875
0.101382451827,0.107197029483,1,0.945758033745,7.38285867161,8.99144240437,-1.25038329533,-36.3065432662,36.3280682438,268.027535125
0.492372235061,0.506646868531,1,0.971825280374,0.001936055406,8.99144240437,-0.281037589255,15.4769370264,15.4794884233,91.0402897078
0.505803290291,0.493254246818,1,1.02544132879,0.001910704058,8.99144240437,1.65955146422,15.4772715849,15.5659900673,83.8798397224
0.519021874863,0.4800805507,1,1.08111414659,0.001869632993,8.99144240437,3.60426492349,15.4778135946,15.8919300057,76.8913445651
0.532004494153,0.467153318315,1,1.13882203828,0.001802807556,8.99144240437,5.55082317646,15.4786954814,16.4438940565,70.2716318312
0.107505360965,0.0925656212491,1,1.16139620212,8.64175065203,8.99144240437,6.29437552884,-40.58459548,41.0698009926,278.815921052
0.544715041486,0.454506571718,1,1.19847561153,0.00171259745,8.99144240437,7.49506827049,15.4798859727,17.1989220042,64.1646114174
0.557114185415,0.442177066957,1,1.25993459871,0.001602859309,8.99144240437,9.43180654777,15.481334173,18.128173723,58.6486675104
0.569170964342,0.430184309842,1,1.32308629422,0.001498719969,8.99144240437,11.3573470091,15.4827084867,19.2016560007,53.7380754393
0.580858895016,0.418537090949,1,1.38783134775,0.001443155332,8.99144240437,13.2688710225,15.4834417662,20.3911722846,49.4043598706
0.113171228567,0.0799807801615,1,1.41498030325,10.0880235182,8.99144240437,14.0527269088,-45.013818651,47.1563675777,287.337682687
0.592109811,0.407304495278,1,1.45372766042,0.001437975099,8.99144240437,15.1542764365,15.4835101291,21.6654374576,45.6156768199
0.602799688677,0.39663238195,1,1.51979443966,0.001431878483,8.99144240437,16.9881957601,15.4835905853,22.9856558009,42.3470535671
0.612857959753,0.386606210783,1,1.58522533436,0.001385982555,8.99144240437,18.7527993553,15.4841962681,24.3192890054,39.5465053129
0.622358159982,0.377147722387,1,1.65017080321,0.001310143484,8.99144240437,20.4569230749,15.4851971067,25.6569100073,37.1244863861
0.118175594387,0.0698049655305,1,1.69293965678,11.632688791,8.99144240437,21.5548626764,-49.2987536023,53.8050110281,293.616361306
0.631418859106,0.368127415717,1,1.71521824278,0.001232522104,8.99144240437,22.1194737825,15.4862214662,27.0017439384,34.9965222142
0.640100015886,0.359484884585,1,1.78060342266,0.001154706487,8.99144240437,23.7488177509,15.487248389,28.35244623,33.1094613723
0.648507806957,0.351125261919,1,1.84694146873,0.00104501488,8.99144240437,25.3616376504,15.4886959752,29.7172065868,31.4129781805
0.656235763778,0.343457491565,1,1.91067535253,0.000893108069,8.99144240437,26.8751641341,15.4907006702,31.0199331799,29.9589180504
0.663333324485,0.3364193253,1,1.97174560021,0.000735243775,8.99144240437,28.2941758999,15.4927839852,32.2581268128,28.7033887996
0.122786742802,0.0611069137591,1,2.00937562132,13.3553847386,8.99144240437,29.1539998568,-53.6510796579,61.0605769389,298.51965953
0.669860744557,0.329933397738,1,2.03029080763,0.000623937154,8.99144240437,29.6272655804,15.4942528846,33.4342150831,27.6083416954
0.675843323568,0.323972728966,1,2.08611177158,0.000567786885,8.99144240437,30.8746636173,15.4949938926,34.544749083,26.6505925229
0.681299754241,0.318527882441,1,2.13890146451,0.00054112474,8.99144240437,32.034013363,15.4953457495,35.5848809474,25.8137693794
0.686258160658,0.31357759668,1,2.18847955952,0.000523770396,8.99144240437,33.1055864475,15.4955747726,36.5526017072,25.0826610325
0.690759270735,0.309087300776,1,2.2348354947,0.000496392083,8.99144240437,34.092972738,15.4959360807,37.449363481,24.4427434335
0.694853515801,0.305012305585,1,2.27811633524,0.000439912135,8.99144240437,35.0026083338,15.4966814394,38.2796254659,23.880377376
0.698584680793,0.30130648598,1,2.31851856266,0.000361204397,8.99144240437,35.841404321,15.4977201355,39.0485030839,23.3835166977
0.70198340481,0.297931143487,1,2.35619343649,0.000286816953,8.99144240437,36.614841929,15.4987018171,39.7599850038,22.9424617175
0.127027665497,0.053674513723,1,2.36662908867,15.2641871151,8.99144240437,36.8276184641,-58.0562456082,68.7517355116,302.388745048
0.705225581583,0.294706913303,1,2.39297264417,0.000229058468,8.99144240437,37.3619792821,15.4994640485,40.4493619439,22.5309177276
0.708260986101,0.29168423203,1,2.42817714612,0.000187812239,8.99144240437,38.0699906618,15.5000083698,41.1044334404,22.1534526663
0.711055133501,0.288898684058,1,2.46126124049,0.000159856876,8.99144240437,38.729147016,15.5003772932,41.7158066543,21.8125276768
0.713617349042,0.286342050915,1,2.49218494721,0.000141788616,8.99144240437,39.3399407067,15.5006157377,42.2835668204,21.5052963889
0.715973721567,0.283989592203,1,2.52112662303,0.000129181601,8.99144240437,39.9070255667,15.5007821109,42.8117382925,21.2272845
0.718237527256,0.281729572959,1,2.54938634845,0.000116777889,8.99144240437,40.4565757185,15.5009458011,43.3245177653,20.9643453018
0.720268294988,0.279703318947,1,2.57511529609,0.000101486337,8.99144240437,40.9533904379,15.5011476018,43.7888771874,20.7320083564
0.72211252125,0.277865456041,1,2.59878479153,7.9256735e-05,8.99144240437,41.4075238822,15.501440963,44.2139989821,20.5240360565
0.723779817148,0.276205952808,1,2.62043525778,5.1519686e-05,8.99144240437,41.8205108944,15.5018070053,44.6011339755,20.3384707776
0.725271994273,0.274720280453,1,2.64003805281,2.8120511e-05,8.99144240437,42.1924804504,15.5021158013,44.9502057935,20.1740481338
0.726608249182,0.273388552969,1,2.65778592882,1.1697087e-05,8.99144240437,42.5276673994,15.5023325391,45.2650506306,20.0279847053
0.727809118936,0.272190159783,1,2.67389945146,2.649916e-06,8.99144240437,42.830697926,15.5024519335,45.5499143883,19.8975821227
0.728870916666,0.271129083334,1,2.68828009045,0,8.99144240437,43.1001134953,15.5024869041,45.8033501342,19.782923843
0.729835228072,0.270164771928,1,2.70144483629,0,8.99144240437,43.3459086892,15.5024869041,46.0347140787,19.6793822281
0.730749739033,0.269250260967,1,2.71401682734,0,8.99144240437,43.5798924235,15.5024869041,46.2550983553,19.5817788555
0.731138543748,0.268861456252,1,2.71938772459,0,8.99144240437,43.679632659,15.5024869041,46.3490820776,19.5404556801
0.714951164714,0.261196595857,1,2.73721471127,0.091319105253,8.99144240437,44.0097503143,14.2973602523,46.2738871601,17.9973216361
0.130744837964,0.0477128989785,1,2.7402409152,17.2184520464,8.99144240437,44.0656467091,-62.2006211414,76.2279377281,305.315429272
0.695695504424,0.252080532809,1,2.75981447941,0.207171740651,8.99144240437,44.4261957844,12.7684677143,46.2246756575,16.0351025677
0.672523863356,0.241113896315,1,2.78923725938,0.358180269361,8.99144240437,44.964975964,10.7756273104,46.2381142282,13.4764942592
0.644383118038,0.22780092982,1,2.82871153576,0.561086173982,8.99144240437,45.681896673,8.09790381775,46.3940915406,10.0522401014
0.610981328083,0.212005521752,1,2.88191233433,0.834945942452,8.99144240437,46.6376392252,4.48381118159,46.8526835433,5.49162193769
0.57306771286,0.194083600729,1,2.95268487759,1.19973395762,8.99144240437,47.8909945524,-0.237238355629,47.8915821544,359.716175338
0.531919085228,0.174642724645,1,3.04575576399,1.68021995032,8.99144240437,49.5091210319,-5.38524503592,49.8011438568,353.792184287
0.134095444089,0.0427371997448,1,3.13767502059,19.2611439467,8.99144240437,51.0751847797,-66.2096607437,83.6205338184,307.647165345
0.488999733276,0.15438039203,1,3.16749897344,2.31000757288,8.99144240437,51.5767265571,-10.8115503897,52.6977072004,348.161035921
0.446065322408,0.134133804154,1,3.32552502496,3.12971719609,8.99144240437,54.1829790899,-16.5536401625,56.6552577056,343.011372281
0.404835964593,0.114730218736,1,3.52859054095,4.18750894024,8.99144240437,57.4135356043,-22.6324097528,61.7133700409,338.485646283
